restaurant_id,name,country,city,area,lat,lon,cuisines,dietary_tags,price_band,rating,review_count,delivery_available,dine_in_available,open_now
1,The Royal Model Town,Pakistan,Lahore,Model Town,31.463976,74.324937,karahi|desi|family,halal|family,medium,4.3,640,True,True,True
2,Garden Pantry Model Town,Pakistan,Lahore,Model Town,31.551457,74.317859,coffee|desserts|bakery,vegetarian options,low,4.6,226,True,True,True
3,Blue Social MM Alam,Pakistan,Lahore,MM Alam,31.515531,74.313679,pakistani|desi|family,halal|family,medium,4.6,12075,False,True,True
4,Blue Cafe Model Town,Pakistan,Lahore,Model Town,31.553168,74.416927,seafood|grill|family,halal|family,high,3.7,3853,False,True,True
5,Golden Social Johar Town,Pakistan,Lahore,Johar Town,31.572799,74.376464,fine dining|fusion,halal,high,4.4,11618,True,True,True
6,Garden Spot DHA,Pakistan,Lahore,DHA,31.559016,74.395305,fast food|curry|street food,halal options|vegetarian options,medium,4.5,3872,True,True,False
7,Saffron Feast Liberty,Pakistan,Lahore,Liberty,31.492186,74.328295,fast food|desserts|bakery,vegetarian options,low,4.4,2460,True,True,True
8,Saffron Bistro Liberty,Pakistan,Lahore,Liberty,31.535694,74.39375,bbq|vegan|international,vegan|vegetarian,medium,4.6,2624,True,True,True
9,Urban House Johar Town,Pakistan,Lahore,Johar Town,31.552632,74.339521,cafe|brunch,gluten-free options|vegetarian options,medium,4.2,4491,True,True,True
10,Golden House Model Town,Pakistan,Lahore,Model Town,31.52132,74.322569,cafe|desserts|bakery,vegetarian options,low,4.0,10588,True,True,False
11,House of Heritage Liberty,Pakistan,Lahore,Liberty,31.565761,74.412334,pakistani|bbq|karahi,halal|family,medium,3.9,4066,True,True,True
12,Golden Lounge Liberty,Pakistan,Lahore,Liberty,31.57187,74.389332,continental|italian|cafe,halal,high,4.3,3590,True,True,True
13,The Lime Model Town,Pakistan,Lahore,Model Town,31.488014,74.325126,cafe|fusion,halal,high,3.6,9195,True,True,True
14,Cafe Saffron Gulberg,Pakistan,Lahore,Gulberg,31.5573,74.321549,bbq|italian,vegetarian options,low,3.9,7869,True,True,True
15,Street Table Johar Town,Pakistan,Lahore,Johar Town,31.473512,74.321691,fast food|desserts|bakery,vegetarian options,low,4.0,14237,True,True,True
16,Royal Pantry Johar Town,Pakistan,Lahore,Johar Town,31.466471,74.418614,asian|thai|chinese,halal,high,4.6,1724,False,False,False
17,Central Feast DHA,Pakistan,Lahore,DHA,31.578637,74.330524,continental|italian|cafe,halal,high,3.8,155,False,True,True
18,Cafe Spice Model Town,Pakistan,Lahore,Model Town,31.467715,74.336333,british|brunch|cafe,gluten-free options|vegetarian options,medium,4.3,9003,True,True,False
19,The Garden Liberty,Pakistan,Lahore,Liberty,31.528761,74.36817,cafe|italian,halal,high,4.1,14706,True,True,True
20,Taste of Green Liberty,Pakistan,Lahore,Liberty,31.515267,74.410182,karahi|brunch|cafe,gluten-free options|vegetarian options,medium,4.4,5035,False,True,True
21,Riverside Grill Liberty,Pakistan,Lahore,Liberty,31.489714,74.332898,bbq|desi|family,halal|family,medium,4.7,14525,True,True,True
22,Heritage House Model Town,Pakistan,Lahore,Model Town,31.567166,74.38779,asian|brunch|cafe,gluten-free options|vegetarian options,medium,3.8,2011,True,True,True
23,Riverside Co. MM Alam,Pakistan,Lahore,MM Alam,31.471476,74.349529,asian|thai|chinese,halal,high,4.7,952,True,True,False
24,Cafe Spice Model Town 2,Pakistan,Lahore,Model Town,31.526703,74.350274,continental|burgers|fries,halal,low,4.6,9663,True,True,False
25,Street Social Gulberg,Pakistan,Lahore,Gulberg,31.57726,74.388637,bbq|italian,vegetarian options,low,4.7,6778,False,True,True
26,Lime Plate DHA,Pakistan,Lahore,DHA,31.49018,74.317804,fast food|vegan|international,vegan|vegetarian,medium,4.6,13403,True,True,True
27,Blue Hub Johar Town,Pakistan,Lahore,Johar Town,31.46324,74.321876,continental|thai|chinese,halal,high,4.6,3772,True,True,False
28,Cedar Spot MM Alam,Pakistan,Lahore,MM Alam,31.481828,74.414204,pizza|italian,vegetarian options,low,3.7,4399,True,True,True
29,Street Feast Model Town,Pakistan,Lahore,Model Town,31.545454,74.298903,cafe|italian,vegetarian options,low,3.8,847,False,True,True
